source_table,source_field,grain,source_meaning,kg_class,kg_property,candidate_resource,candidate_term_or_iri,decision,transformation_notes,status
participants.csv,<table>,participant,One retained NHANES adult participant with cancer history,cskg:Participant,rdf:type,Project ontology,cskg:Participant,extend,Primary person/entity node keyed by SEQN and NHANES cycle,ready
cancer_diagnoses.csv,<table>,participant-diagnosis,Cancer diagnosis slot extracted from NHANES MCQ variables,cskg:CancerDiagnosis,rdf:type,NCIt + project ontology,cskg:CancerDiagnosis,extend/map,Cancer type codes need codebook-to-NCIt mapping,needs codebook mapping
pam_days.csv,<table>,participant-day,NHANES daily physical activity monitor summary,cskg:DailyMovementSummary,rdf:type,SOSA/SSN + project ontology,cskg:DailyMovementSummary,extend,Daily aggregate derived from physical activity monitor data,ready
pam_minutes.csv,<table>,participant-minute,NHANES minute-level physical activity monitor observation,sosa:Observation,rdf:type,SOSA/SSN,sosa:Observation,reuse,Minute-level sensor observation from PAXMIN,ready
pam_minute_features.csv,<table>,participant-day,Derived daily features computed from PAXMIN,cskg:DerivedMovementFeatureSet,rdf:type,PROV-O + project ontology,cskg:DerivedMovementFeatureSet,extend,Generated by local pipeline from PAXMIN,ready
protocol_definitions.csv,<table>,protocol,Candidate processing protocol metadata,cskg:ProcessingProtocol,rdf:type,SOSA/SSN + PROV-O + project ontology,cskg:ProcessingProtocol,extend,"Operational completeness protocols, not clinical PA classifications",ready
valid_day_protocol_results.csv,<table>,participant-protocol,Participant-level output after applying candidate valid-day protocol,cskg:ProtocolApplicationResult,rdf:type,PROV-O + project ontology,cskg:ProtocolApplicationResult,extend,Traceable result of protocol execution,ready
cohort_flow.csv,<table>,cohort-stage,Cohort inclusion/exclusion stage counts,cskg:CohortFlowStage,rdf:type,DCAT/PROV-O + project ontology,cskg:CohortFlowStage,extend,Used for reproducibility and reporting,ready
*,SEQN,identifier,NHANES participant identifier,cskg:Participant,dct:identifier,Dublin Core,dct:identifier,reuse,Use together with cycle for local KG URI minting,ready
*,cycle,dataset-cycle,NHANES survey cycle,dcat:Dataset,dct:temporal,DCAT/Dublin Core/OWL-Time,dct:temporal,reuse,Values such as 2011-2012 and 2013-2014,ready
participants.csv,RIDAGEYR,participant,Age in years at screening,cskg:Participant,cskg:ageInYears,Project ontology / NCIt candidate,cskg:ageInYears,extend,Numeric years; keep NHANES source variable provenance,ready
participants.csv,RIAGENDR,participant,Gender code,cskg:Participant,cskg:hasGenderCode,Project ontology / codebook mapping,cskg:hasGenderCode,extend/map,Needs NHANES codebook labels,needs codebook mapping
participants.csv,RIDRETH1,participant,Race/ethnicity code,cskg:Participant,cskg:hasRaceEthnicityCode,Project ontology / codebook mapping,cskg:hasRaceEthnicityCode,extend/map,Needs NHANES codebook labels,needs codebook mapping
participants.csv,RIDRETH3,participant,Expanded race/ethnicity code,cskg:Participant,cskg:hasRaceEthnicityCode,Project ontology / codebook mapping,cskg:hasRaceEthnicityCode,extend/map,Needs NHANES codebook labels,needs codebook mapping
participants.csv,MCQ220,participant,Self-reported history of cancer or malignancy,cskg:CancerHistoryAssertion,cskg:hasCancerHistoryAssertion,NCIt + project ontology,cskg:hasCancerHistoryAssertion,extend/map,"MCQ220=1 retained; source assertion, not validated registry diagnosis",ready
